LOCATION_GID,LOCATION_XID,LOCATION_NAME,CITY,PROVINCE,PROVINCE_CODE,POSTAL_CODE,COUNTRY_CODE3_GID,ZONE1,ZONE2,ZONE3,TIME_ZONE_GID,LAT,LON
LFL/TMS/PHL.6294,6294,SPORTS SHOP,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61702,121.01668
LFL/TMS/PHL.100123593,100123593,BABY SM SHOP,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.67316,121.02655
LFL/TMS/PHL.646,646,COST U LESS,TAGUIG,NCR,PH-00,1630,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.56364,121.00304
LFL/TMS/PHL.100014311,100014311,SPORTS IN STYLE,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.67288,121.07182
LFL/TMS/PHL.100004972,100004972,SOUND CHECK,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61905,121.01425
LFL/TMS/PHL.100127115,100127115,GRACELAND,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62029,120.99267
LFL/TMS/PHL.20126,20126,GTRS MUSIC STORE,CALOOCAN SOUTH,NCR,PH-00,1400,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6543,120.98416
LFL/TMS/PHL.100045844,100045844,THREE TREES,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60922,120.97631
LFL/TMS/PHL.20995,20995,TOP SHOPPING ENTERPRISE,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.59834,120.97323
LFL/TMS/PHL.LZDPH,LZDPH,LAZADA PHILIPPINES,TAGUIG,NCR,PH-00,1630,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.55004,121.04691
LFL/TMS/PHL.6340,6340,CPT,SAN JUAN CITY,NCR,PH-00,1500,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.607,121.03143
LFL/TMS/PHL.330,330,FUKUDA,PARANAQUE,NCR,PH-00,1700,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.45994,121.04272
LFL/TMS/PHL.100158964,100158964,CURATED OFFICE FURNITURES,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.57615,120.99126
LFL/TMS/PHL.100159363,100159363,KOHL INDUSTRIES CORPORATION,PASIG,NCR,PH-00,1600,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.56987,121.06862
LFL/TMS/PHL.1000041854,1000041854,LYNN ONLINE SHOP,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60549,120.97337
LFL/TMS/PHL.100090381,100090381,LONG LIFE,TAGUIG,NCR,PH-00,1630,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.51026,121.04597
LFL/TMS/PHL.7146,7146,MULTIPLE CHOICE,MANDALUYONG,NCR,PH-00,1550,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.57632,121.04319
LFL/TMS/PHL.100106208,100106208,RAKED STORE PH,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.7001,121.09521
LFL/TMS/PHL.6534,6534,VIA & CO,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61016,120.97415
LFL/TMS/PHL.100067264,100067264,STAR HOME,PARANAQUE,NCR,PH-00,1700,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.51184,120.99808
LFL/TMS/PHL.1000102776,1000102776,ANVIL PUBLISHING INC,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.39975,121.04029
LFL/TMS/PHL.23221,23221,WEEXT TRADING CORP WAREHOUSE,CAINTA,NCR,PH-00,1900,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.56708,121.09702
LFL/TMS/PHL.1000111445,1000111445,MK SHOP NEW,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60429,120.97372
LFL/TMS/PHL.100082331,100082331,RECA INC,CALOOCAN SOUTH,NCR,PH-00,1400,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66399,120.98958
LFL/TMS/PHL.100020490,100020490,THE WAREHOUSE,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.59834,120.97323
LFL/TMS/PHL.LZDWH,LZDWH,LAZADA CABUYAO WAREHOUSE,CABUYAO CITY,NCR,PH-00,4025,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.24031,121.11417
LFL/TMS/PHL.100123335,100123335,AUTO LOCO,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6202,120.99259
LFL/TMS/PHL.12701,12701,GOLD APEX TOOLS & HARDWARE CO.,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60882,121.01687
LFL/TMS/PHL.100082820,100082820,BIG VALUE SHOP,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61344,120.97832
LFL/TMS/PHL.100102958,100102958,HOME CROWN,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61596,120.97579
LFL/TMS/PHL.7694,7694,RAFFLES KITCHEN ART,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.57711,120.99252
LFL/TMS/PHL.100038487,100038487,AOE,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66744,121.04853
LFL/TMS/PHL.100026471,100026471,MUSIC CONNECTION,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6022,121.01032
LFL/TMS/PHL.100153989,100153989,GOLD SWORTH TRADING CORP,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.67049,121.09076
LFL/TMS/PHL.100089854,100089854,CUPPA,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.64115,121.00087
LFL/TMS/PHL.100013850,100013850,BON THRI MARKETING,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60178,120.98191
LFL/TMS/PHL.100004707,100004707,THM MOTORCYCLES AND ACCESSORIES,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60112,121.01249
LFL/TMS/PHL.100122616,100122616,P&P ENTERPRISES,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6003,120.97224
LFL/TMS/PHL.BEV32201,BEV32201,PARAGUA DISTRIBUTION INC,MANILA,NCR,NULL,1000,PHL,LFNCR01,PH-00-4,MANILA,Asia/Manila,14.63176,120.96917
LFL/TMS/PHL.24702,24702,CHEF'S CLASSICS,PASIG,NCR,PH-00,1600,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.56743,121.06942
LFL/TMS/PHL.100144525,100144525,KITH SHOP,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61657,120.97222
LFL/TMS/PHL.100144444,100144444,GROUP RICH STORE,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61657,120.97222
LFL/TMS/PHL.100154316,100154316,PVC WALL PAPER,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.6045,120.97225
LFL/TMS/PHL.100090166,100090166,DCHUA GENERAL MERCHANDISE,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61657,120.97222
LFL/TMS/PHL.6878,6878,THE STORE,MALABON,NCR,PH-00,1470,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66776,120.99334
LFL/TMS/PHL.100042030,100042030,PHB,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66574,121.04535
LFL/TMS/PHL.1383,1383,JW SUMMIT,PASAY,NCR,PH-00,1300,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.54164,120.99956
LFL/TMS/PHL.100004107,100004107,GIGATOOLS INDUSTRIAL CENTER,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60396,120.97982
LFL/TMS/PHL.100100822,100100822,EASTON HOTEL AMENITIES,PASAY,NCR,PH-00,1300,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.506,121.02499
LFL/TMS/PHL.100085223,100085223,LIFESTYLE ESSENTIAL LIVING,PASAY,NCR,PH-00,1300,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.506,121.02499
LFL/TMS/PHL.100085222,100085222,WILMAX ENGLAND,PASAY,NCR,PH-00,1300,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.506,121.02499
LFL/TMS/PHL.4896,4896,FIRST PHILIPPINE SCALES,MALABON,NCR,PH-00,1470,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66513,120.98046
LFL/TMS/PHL.100085226,100085226,OCEAN GLASSWARE PHILIPPINES,PASAY,NCR,PH-00,1300,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.506,121.02499
LFL/TMS/PHL.181,181,WCCC,PASAY,NCR,PH-00,1300,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.506,121.02499
LFL/TMS/PHL.100116479,100116479,OH MY BABY,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.60772,121.07539
LFL/TMS/PHL.696,696,SPORTS JOY,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62847,121.03774
LFL/TMS/PHL.100135021,100135021,GOLD MIND,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62692,121.06859
LFL/TMS/PHL.100134937,100134937,JAY DENCEF KERATIN,CALOOCAN SOUTH,NCR,PH-00,1400,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.65541,120.98093
LFL/TMS/PHL.100113702,100113702,JEN FIX,CALOOCAN SOUTH,NCR,PH-00,1400,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.65541,120.98093
LFL/TMS/PHL.100060815,100060815,DURO TIRES INTERNATIONAL,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66018,121.01699
LFL/TMS/PHL.100114712,100114712,JENFIX SUPER BRAZILIAN,CALOOCAN SOUTH,NCR,PH-00,1400,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.65541,120.98093
LFL/TMS/PHL.1000067033,1000067033,BEST GOOD QUALITY,QUEZON CITY,NCR,PH-00,1100,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.66647,121.00368
LFL/TMS/PHL.100024288,100024288,AUTOHOLIC,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62029,120.99261
LFL/TMS/PHL.100077457,100077457,SOUND AND MUSIC PEOPLE INC.,MARIKINA,NCR,PH-00,1800,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62292,121.0975
LFL/TMS/PHL.100045382,100045382,WILL MASTER MERCANTILE,CALOOCAN SOUTH,NCR,PH-00,1400,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.64626,120.9831
LFL/TMS/PHL.100011657,100011657,JOY RIDE,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.62029,120.99261
LFL/TMS/PHL.100138043,100138043,YASENPH,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.61973,120.98454
LFL/TMS/PHL.1000041483,1000041483,HELLO BABY,MANILA,NCR,PH-00,1000,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.63178,120.96428
LFL/TMS/PHL.100076726,100076726,HYPERX,PASAY,NCR,PH-00,1300,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.54179,120.9999
LFL/TMS/PHL.1000008007,1000008007,LOGITECH - EXCLUSIVES,PASAY,NCR,PH-00,1300,PHL,LFNCR01,NULL,NULL,Asia/Manila,14.54179,120.9999
